"id","name","section_id","notes","substitution_1","substitution_2"
1,"Incline Machine Press",1,"45° incline, focus on squeezing chest","Incline Smith Machine Press","Incline DB Press"
2,"Single-Leg Leg Press (Heavy)",1,"High and wide foot positioning, start with weaker leg","Machine Squat","Hack Squat"
3,"Single-Leg Leg Press (Back off)",1,"High and wide foot positioning, start with weaker leg.","Machine Squat","Hack Squat"
4,"Pendlay Row",1,"Initiate the movement by squeezing your shoulder blades together, pull to your lower chest, avoid using momentum.","T-Bar Row","Seated Cable Row"
5,"Glute-Ham Raise",1,"Keep your hips straight, do Nordic ham curls if no GHR machine.","Nordic Ham Curl","Lying Leg Curl"
6,"Spider Curl",1,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Brace your chest against an incline bench, curl with your elbows slightly in front of you.","DB Preacher Curl","Bayesian Cable Curl"
7,"Cable Lateral Raise",1,"Dropset: perform 12-15 reps, drop the weight by ~50%, perform an additional 12-15 reps. Lean away from the cable. Focus on squeezing your delts.","Machine Lateral Raise","DB Lateral Raise"
8,"Hanging Leg Raise",1,"Knees to chest, controlled reps, straighten legs more to increase difficulty.","Roman Chair Crunch","Reverse Crunch"
10,"2-Grip Pullup",2,"First set 1.5x shoulder width grip. Second set 1.0x shoulder width grip.","Machine Pulldown","2-Grip Lat Pulldown"
11,"Weighted Dip (Heavy)",2,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip.","Machine Chest Press","Flat DB Press"
12,"Weighted Dip (Back off)",2,"Tuck your elbows at 45°, lean your torso forward 15°, shoulder width or slightly wider grip.","Machine Chest Press","Flat DB Press"
13,"Incline Chest-Supported DB Row",2,"Keep elbows at ~30° angle from torso. Pull the weight towards your navel.","Chest-Supported T-Bar Row","Seated Cable Row"
14,"Standing DB Arnold Press",2,"Start with your elbows in front of you and palms facing in. Rotate the dumbbells so that your palms face forward as you press.","Machine Shoulder Press","Seated DB Shoulder Press"
15,"A1: DB Incline Curl",2,"Brace upper back against bench 45° incline, keep shoulder back as you curl.","Cable EZ Curl","EZ Bar Curl"
16,"A2: DB French Press",2,"Can perform seated or standing. Press the dumbbell straight up and down behind your head.","Overhead Cable Triceps Extension","EZ Bar Skull Crusher"
17,"DB Bulgarian Split Squat",3,"Start with your weaker leg. Squat deep","Goblet Squat","Leg Press Toe Press"
18,"DB Romanian Deadlift",3,"Emphasize the stretch in your hamstrings, prevent your lower back from rounding","Romanian Deadlift","45 deg Hyperextension"
19,"Goblet Squat",3,"Hold the dumbbell underneath your chin, sit back and down, push your knees out laterally","Leg Extension","Step Up"
20,"A1: Leg Press Toe Press",3,"Press all the way up to your toes, stretch your calves at the bottom, don't bounce.","Standing Calf Raise","Seated Calf Raise"
21,"A2: Machine Crunch",3,"Squeeze your abs to move the weight, don't use your arms to help","Plate-Weighted Crunch","Cable Crunch"
